sic_code,sole_focus,id,ntee_code,ruling_year,ein,organization_type,state,combined_name,denial,peripheral_focus,naics_code,address,org,substantive_focus,delay,org_level_1,org_level_2,num_docs
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,2224,Research Institutes and/or Public Policy Analysis (W05),1987.0,57-0835744,501(c)(3),SC,,0.0,1.0,541720 Research and Development in the Social Sciences and Humanities,"1323 Pendleton St  / Columbia, SC 29201 USA/                             Ms. Ashley  Landess                           /                                 Primary Contact Phone: (803) 779-5022 Ext 102                              / ashleyl@scpolicycouncil.org/ President/ www.scpolicycouncil.com/                                 Main Office Phone: (803) 779-5022 Ext 102",SOUTH CAROLINA POLICY COUNCIL,0.0,1.0,SOUTH CAROLINA POLICY COUNCIL,SOUTH CAROLINA POLICY COUNCIL,1061.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,826,Research Institutes and/or Public Policy Analysis (R05),1976.0,58-1247027,501(c)(3),GA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"560 W CROSSVILLE RD STE 104  / ROSWELL, GA 30075-7509 USA/                             Mr. Todd G Young                           /                                 Primary Contact Phone: (770) 977-2131                              / tyoung@southeasternlegal.org/ Executive Director/ www.slfliberty.org/                                 Main Office Phone: (770) 977-2131                              / 560 W CROSSVILLE RD STE 104  / ROSWELL, GA 30075-7509 / 560 W CROSSVILLE RD STE 104  / ROSWELL, GA 30075-7509",SOUTHEASTERN LEGAL FOUNDATION,1.0,1.0,SOUTHEASTERN LEGAL FOUNDATION,SOUTHEASTERN LEGAL FOUNDATION,183.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,3818,Research Institutes and/or Public Policy Analysis (S05),1992.0,57-0952531,501(c)(3),VA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1655 North Fort Myer Drive Suite 360 / Arlington, VA 22209 USA/                              Meredith  Turney                           /                                 Primary Contact Phone: (703) 243-1655                              / turney@spn.org/ Senior Director of Leadership Development & Strategic Communications/ www.spn.org/                                 Main Office Phone: (703) 243-1655                              / 1655 North Fort Myer Drive Suite 360 / Arlington, VA 22209 / 1655 North Fort Myer Drive Suite 360 / Arlington, VA 22209",STATE POLICY NETWORK,1.0,1.0,STATE POLICY NETWORK,STATE POLICY NETWORK,1667.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,2882,"Scholarships, Student Financial Aid, Awards (B82)",2011.0,27-2277658,501(c)(3),MI,,0.0,0.0,813410 Civic and Social Organizations,"4771 Mechanic Rd  / Hillsdale, MI 49242 / N/A",STUDENT FREE PRESS ASSOCIATION,1.0,1.0,STUDENT FREE PRESS ASSOCIATION,STUDENT FREE PRESS ASSOCIATION,17474.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,478,"Public Finance, Taxation, Monetary Policy (W22)",2011.0,45-0702828,501(c)(4),DC,,1.0,0.0,813410 Civic and Social Organizations,"1401 K St NW Ste 502  / Washington, DC 20005 / WWW.PROTECTINGTAXPAYERS.ORG",TAXPAYERS PROTECTION ALLIANCE,1.0,1.0,TAXPAYERS PROTECTION ALLIANCE,TAXPAYERS PROTECTION ALLIANCE,2006.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,662,Research Institutes and/or Public Policy Analysis (W05),1989.0,74-2524057,501(c)(3),TX,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"901 Congress Avenue  / AUSTIN                , TX 78701 USA/                             Mr. Greg  Sindelar                           /                                 Primary Contact Phone: (512) 472-2700                              / administration@texaspolicy.com/ Chief Operating Officer/ www.texaspolicy.com/                                 Main Office Phone: (512) 472-2700",TEXAS PUBLIC POLICY FOUNDATION,1.0,1.0,TEXAS PUBLIC POLICY FOUNDATION,TEXAS PUBLIC POLICY FOUNDATION,4453.0
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,1653,"Public, Society Benefit - Multipurpose and Other N.E.C. (W99)",1985.0,51-0280185,501(c)(3),VA,,1.0,0.0,813410 Civic and Social Organizations,"7011 Dreams Way Court  / Alexandria, VA 22315 USA/                             Mr. Christian  Braunlich                           /                                 Primary Contact Phone: (703) 440-9447                              / chris@thomasjeffersoninst.org/ President/ http://www.thomasjeffersoninst.org/                                 Main Office Phone: (703) 440-9447                              / 7011 Dreams Way Court  / Alexandria, VA 22315 / 7011 Dreams Way Court  / Alexandria, VA 22315 / 7011 Dreams Way Court / Alexandria VA 22315/ International Tel:",THOMAS JEFFERSON INSTITUTE FOR PUBLIC POLICY,1.0,1.0,THOMAS JEFFERSON INSTITUTE FOR PUBLIC POLICY,THOMAS JEFFERSON INSTITUTE FOR PUBLIC POLICY,276.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,3193,"Public Finance, Taxation, Monetary Policy (W22)",2003.0,35-2185292,501(c)(3),IL,,0.0,1.0,813410 Civic and Social Organizations,"118 N CLINTON ST STE 206  / CHICAGO, IL 60661 USA/                              Joan  Colmar                           /                                 Primary Contact Phone: (312) 589-5100                              / jcolmar@truthinaccounting.org/ President/ www.truthinaccounting.org/                                 Main Office Phone: (312) 589-5100                              / 118 N CLINTON ST STE 206  / CHICAGO, IL 60661 / 118 N CLINTON ST STE 206  / CHICAGO, IL 60661",TRUTH IN ACCOUNTING,0.0,1.0,TRUTH IN ACCOUNTING,TRUTH IN ACCOUNTING,169.0
,False,3944,Unknown (Z99),2014.0,80-0835023,501(c)(3),AZ,,1.0,0.0,,"4940 East Beverly Road  / Phoenix, AZ 85044 USA/                             Ms. Emma J McCausland                           /                                 Primary Contact Phone: (480) 280-6178                              / emma@tpusa.com/ Advancement Administrative Manager/ https://www.tpusa.com//                                 Main Office Phone: (844) 872-1776                              / 4940 East Beverly Road  / Phoenix, AZ 85044 / 4940 East Beverly Road  / Phoenix, AZ 85044",TURNING POINT USA,1.0,1.0,TURNING POINT USA,TURNING POINT USA,570.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,1252,"Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Civil Liberties Advocacy (R60)",1977.0,52-1071570,501(c)(3),DC,,0.0,0.0,813410 Civic and Social Organizations,"2009 Massachusetts Ave NW  / Washington, DC 20036 USA/                             Mrs. Constance  Larcher                           /                                 Primary Contact Phone: (202) 588-0302                              / CLarcher@wlf.org/ President and Chief Executive Officer/ http://www.wlf.org",WASHINGTON LEGAL FOUNDATION,1.0,1.0,WASHINGTON LEGAL FOUNDATION,WASHINGTON LEGAL FOUNDATION,2152.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,3727,"Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Research Institutes and/or Public Policy Analysis (W05)/ Public Finance, Taxation, Monetary Policy (W22)",1997.0,91-1752769,501(c)(3),WA,,0.0,0.0,813410 Civic and Social Organizations,"P.O. Box 3643  / Seattle, WA 98124 USA/                             Ms. Tashina  Kreilick                           /                                 Primary Contact Phone: (206) 9379691                              / tkreilick@washingtonpolicy.org/ Development Manager/ http://www.washingtonpolicy.org/                                 Main Office Phone: (206) 937-9691                              / 3404 4th Ave S.  / Seattle, WA 98134 / P.O. Box 3643  / Seattle, WA 98124",WASHINGTON POLICY CENTER,1.0,1.0,WASHINGTON POLICY CENTER,WASHINGTON POLICY CENTER,312.0
8631 LABOR ORGANIZATIONS,True,1137,Labor Unions/Organizations (J40),1942.0,55-0307050,501(c)(6),WV,,0.0,0.0,813930 Labor Unions and Similar Labor Organizations,"PO Box 3923  / Charleston, WV 25339 / WWW.WVCOAL.COM",WEST VIRGINIA COAL ASSOCIATION,1.0,1.0,WEST VIRGINIA COAL ASSOCIATION,WEST VIRGINIA COAL ASSOCIATION,892.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,2856,Promotion of Business (Chambers of Commerce) (S41),1974.0,84-0700841,501(c)(6),CO,,0.0,0.0,813910 Business Associations,"1775 N Sherman St Ste 2700  / Denver, CO 80203 / WWW.WESTERNENERGYALLIANCE.ORG",WESTERN ENERGY ALLIANCE,1.0,1.0,WESTERN ENERGY ALLIANCE,WESTERN ENERGY ALLIANCE,1080.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,3471,Promotion of Business (Chambers of Commerce) (S41),1942.0,95-0596680,501(c)(6),CA,,0.0,0.0,813910 Business Associations,"1415 L St  Sacramento CA 95814-3961/ Sacramento, CA 95814 / WWW.WSPA.ORG",WESTERN STATES PETROLEUM ASSOCIATION,1.0,1.0,WESTERN STATES PETROLEUM ASSOCIATION,WESTERN STATES PETROLEUM ASSOCIATION,548.0
"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",False,2962,Alliance/Advocacy Organizations (R01),2009.0,26-2828115,501(c)(3),WY,,0.0,0.0,813319 Other Social Advocacy Organizations,"1740 Dell Range Blvd Ste H # 459  / Cheyenne, WY 82009 / WWW.WYLIBERTY.ORG",WYOMING LIBERTY GROUP,1.0,1.0,WYOMING LIBERTY GROUP,WYOMING LIBERTY GROUP,919.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,52,Research Institutes and/or Public Policy Analysis (V05),1985.0,52-1358144,501(c)(3),CT,,0.0,1.0,541720 Research and Development in the Social Sciences and Humanities,"216 Main Street  / Hartford, CT 06106 USA/                             Mr. Matthew  Fox                           / matthew@yankeeinstitute.org/ Director of Operations/ www.yankeeinstitute.org/ 216 Main Street  / Hartford, CT 06106",YANKEE INSTITUTE FOR PUBLIC POLICY,0.0,1.0,YANKEE INSTITUTE FOR PUBLIC POLICY,YANKEE INSTITUTE FOR PUBLIC POLICY,1368.0
8322 Individual and Family Services,False,2451,Other Youth Development N.E.C. (O99),1969.0,23-7042029,501(c)(3),VA,,1.0,0.0,624110 Child and Youth Services,"National Headquarters 11480 Commerce Park Drive, Suite 600 / Reston, VA 20191 USA/                             Ms. Jessica  Jensen                           /                                 Primary Contact Phone: (703) 318-9608                              / jjensen@yaf.org/ Vice President & Chief of Staff/ http://www.yaf.org/                                 Main Office Phone: (703) 318-9608                              / National Headquarters 11480 Commerce Park Drive, Suite 600 / Reston, VA 20191",YOUNG AMERICA'S FOUNDATION,1.0,1.0,YOUNG AMERICA'S FOUNDATION,YOUNG AMERICA'S FOUNDATION,1483.0
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,882,(Youth Development Programs) (O50),2011.0,26-2417908,501(c)(4),TX,YOUNG AMERICANS FOR LIBERTY,1.0,0.0,813410 Civic and Social Organizations,"500 N Capital of Texas HWY Bldg 5, Ste 100 / Austin, TX 78746 USA/                              Bill  Rein                           /                                 Primary Contact Phone: (530) 761-3488                              / bill.rein@yaliberty.org/ Development Specialist/ http://www.yaliberty.org/                                 Main Office Phone: (512) 637-5217                              / 500 N Capital of Texas HWY Bldg 5, Ste 100 / Austin, TX 78746 / 500 N Capital of Texas HWY Bldg 5, Ste 100 / Austin, TX 78746",YOUNG AMERICANS FOR LIBERTY,1.0,1.0,YOUNG AMERICANS FOR LIBERTY,YOUNG AMERICANS FOR LIBERTY,6395.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,365,Leadership Development (W70),2013.0,45-3503672,501(c)(3),TX,YOUNG AMERICANS FOR LIBERTY,1.0,0.0,813410 Civic and Social Organizations,"500 N Capital of Texas HWY Bldg 5, Ste 100 / Austin, TX 78746 USA/                              Kathryn  Brackbill                           / kathryn.brackbill@yaliberty.org/ Director of Operations/ http://www.yaliberty.org// 500 N Capital of Texas HWY Bldg 5, Ste 100 / Austin, TX 78746 / 500 N Capital of Texas HWY Bldg 5, Ste 100 / Austin, TX 78746",YOUNG AMERICANS FOR LIBERTY FOUNDATION,1.0,1.0,YOUNG AMERICANS FOR LIBERTY FOUNDATION,YOUNG AMERICANS FOR LIBERTY,
"6732 Trusts: Educational, Religious, Etc.",,2186,Community Foundations (T31)- Fund Raising and/or Fund Distribution (S12),2006.0,20-5205488,Foundation,CA,SILICON VALLEY COMMUNITY FOUNDATION,,,813211 Grantmaking Foundations,"2440 West El Camino Real Ste 300 - Mountain View, CA 94040 USA- -                             Paul  Velaski -                          - -                                Primary Contact Phone: (650) 450-5400-                              - pvelaski@siliconvalleycf.org- Chief Financial Officer- www.siliconvalleycf.org- -                                Main Office Phone: (650) 450-5400-                              - 2440 West El Camino Real Ste 300 - Mountain View, CA 94040",SILICON VALLEY COMMUNITY FOUNDATION,,,SILICON VALLEY COMMUNITY FOUNDATION,SILICON VALLEY COMMUNITY FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,1493,Community Foundations (T31),2017.0,23-7160400,Foundation,TX,GREATER HOUSTON COMMUNITY FOUNDATION,,,813211 Grantmaking Foundations,"515 Post Oak Boulevard Suite 1000 - Houston, TX 77027 USA- -                            Mrs. Rachel  Young -                          - -                                Primary Contact Phone: (713) 333-2234-                              - ryoung@ghcf.org- Marketing & Brand Manager- www.ghcf.org- -                                Main Office Phone: (713) 333-2200-                              - 515 Post Oak Boulevard Suite 1000 - Houston, TX 77027 - 515 Post Oak Boulevard Suite 1000 - Houston, TX 77027",GREATER HOUSTON COMMUNITY FOUNDATION,,,GREATER HOUSTON COMMUNITY FOUNDATION,GREATER HOUSTON COMMUNITY FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,2694,Community Foundations (T31),1994.0,33-0378778,Foundation,CA,ORANGE COUNTY COMMUNITY FOUNDATION,,,813211 Grantmaking Foundations,"4041 MacArthur Blvd Ste 510 - Newport Beach, CA 92660 USA- -                             Todd  Hanson -                          - -                                Primary Contact Phone: (949) 553-4202-                              - thanson@oc-cf.org- Vice President Center for Engaged Philanthropy- www.oc-cf.org- -                                Main Office Phone: (949) 553-4202-                              - 4041 MacArthur Blvd Ste 510 - Newport Beach, CA 92660 - 4041 MacArthur Blvd Ste 510 - Newport Beach, CA 92660",ORANGE COUNTY COMMUNITY FOUNDATION,,,ORANGE COUNTY COMMUNITY FOUNDATION,ORANGE COUNTY COMMUNITY FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,996,Community Foundations (T31),2002.0,01-0679337,Foundation,CA,SAN FRANCISCO FOUNDATION The,,,813211 Grantmaking Foundations,"One Embarcadero Center Suite 1400 - San Francisco, CA 94111 USA- -                             Colin  Richardson -                          - -                                Primary Contact Phone: (415) 733-8500-                              - publicaffairs@sff.org- Director, Grants Administration- www.sff.org- -                                Main Office Phone: (415) 733-8500-                              - One Embarcadero Center Suite 1400 - San Francisco, CA 94111 - One Embarcadero Center Suite 1400 - San Francisco, CA 94111",SAN FRANCISCO FOUNDATION THE,,,SAN FRANCISCO FOUNDATION THE,SAN FRANCISCO FOUNDATION The,
"6732 Trusts: Educational, Religious, Etc.",,1347,Private Grantmaking Foundations (T20),1957.0,13-6082357,Foundation,TX,EXXONMOBIL FOUNDATION,,,813211 Grantmaking Foundations,"1735 Hughes Landing Hhl W 04 N162  The Woodlands, TX 77380- The Woodlands, TX 77380 - ExxonMobil@EasyMatch.com",EXXONMOBIL FOUNDATION,,,EXXONMOBIL FOUNDATION,EXXONMOBIL FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,1832,Corporate Foundations (T21),1984.0,74-2316617,Foundation,CO,ANSCHUTZ FOUNDATION The,,,813211 Grantmaking Foundations,"555 17th St Ste 2400  - Denver, CO 80202",ANSCHUTZ FOUNDATION THE,,,ANSCHUTZ FOUNDATION THE,ANSCHUTZ FOUNDATION The,
"6732 Trusts: Educational, Religious, Etc.",,2472,Private Grantmaking Foundations (T20),2002.0,06-1652243,Foundation,GA,WESTROCK FOUNDATION The,,,813211 Grantmaking Foundations,"1000 Abernathy Rd  Atlanta GA 30328-5606- Atlanta, GA 30328 - WWW.WESTROCKFOUNDATION.ORG",WESTROCK FOUNDATION THE,,,WESTROCK FOUNDATION THE,WESTROCK FOUNDATION The,
"8399 Social Services, NEC",,592,Fund Raising and/or Fund Distribution (T12),2013.0,45-4678325,Foundation,WI,BRADLEY IMPACT FUND,,,813219 Other Grantmaking and Giving Services,"1400 N Water St Ste 300  Milwaukee WI 53202-2506- Milwaukee, WI 53202 - WWW.BRADLEYIMPACTFUND.ORG",BRADLEY IMPACT FUND,,,BRADLEY IMPACT FUND,BRADLEY IMPACT FUND,
"8399 Social Services, NEC",,1177,Fund Raising Organizations That Cross Categories includes Community Funds/Trusts and Federated Giving Programs) e.g. United Way (T70),1999.0,54-1934032,Foundation,VA,DONORS TRUST & DONORS CAPITAL FUND,,,813219 Other Grantmaking and Giving Services,"1800 Diagonal Rd Ste 280  - Alexandria, VA 22314 - www.donorscapitalfund.org",DONORS CAPITAL FUND,,,DONORS CAPITAL FUND,DONORS TRUST & DONORS CAPITAL FUND,
"8399 Social Services, NEC",,1899,Philanthropy / Charity / Voluntarism Promotion (General) (T50),1999.0,52-2166327,Foundation,VA,DONORS TRUST & DONORS CAPITAL FUND,,,813219 Other Grantmaking and Giving Services,"1800 Diagonal Road Suite 280 - Alexandria, VA 22314 USA- -                            Mr Lawson  R Bader -                          - -                                Primary Contact Phone: (703) 535-3563-                              - lbader@donorstrust.org- President & Chief Executive Officer- www.donorstrust.org",DONORS TRUST,,,DONORS TRUST,DONORS TRUST & DONORS CAPITAL FUND,
,,2172,,,11-0303001,Foundation,,FIDELITY CHARITABLE GIFT FUND,,,,,FIDELITY CHARITABLE GIFT FUND,,,FIDELITY CHARITABLE GIFT FUND,FIDELITY CHARITABLE GIFT FUND,
,,2554,,,23-7825575,Foundation,,NATIONAL PHILANTHROPIC TRUST,,,,,NATIONAL PHILANTHROPIC TRUST,,,NATIONAL PHILANTHROPIC TRUST,NATIONAL PHILANTHROPIC TRUST,
,,2269,,,31-1640316,Foundation,,SCHWAB CHARITABLE,,,,,SCHWAB CHARITABLE,,,SCHWAB CHARITABLE,SCHWAB CHARITABLE,
,,2183,,,23-2888152,Foundation,,VANGUARD CHARITABLE ENDOWMENT PROGRAM,,,,,VANGUARD CHARITABLE ENDOWMENT PROGRAM,,,VANGUARD CHARITABLE ENDOWMENT PROGRAM,VANGUARD CHARITABLE ENDOWMENT PROGRAM,
"6732 Trusts: Educational, Religious, Etc.",,2979,Private Grantmaking Foundations (T20),1975.0,51-0172279,Foundation,CO,ADOLPH COORS FOUNDATION,,,813211 Grantmaking Foundations,"215 Saint Paul St Ste 300  - Denver, CO 80206 - www.coorsfoundation.org",ADOLPH COORS FOUNDATION,,,ADOLPH COORS FOUNDATION,ADOLPH COORS FOUNDATION,
,,2397,Education N.E.C. (B99),1958.0,23-6257083,Foundation,PA,ANNENBERG FOUNDATION,,,611 Educational Services,"101 W Elm St Ste 510  - Conshohocken, PA 19428 - www.annenberg.org",ANNENBERG FOUNDATION,,,ANNENBERG FOUNDATION,ANNENBERG FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,2533,Private Grantmaking Foundations (T20),1951.0,75-6003209,Foundation,TX,ARMSTRONG FOUNDATION,,,813211 Grantmaking Foundations,"PO Box 470338  - Fort Worth, TX 76147 - WWW.ARMSTRONGFDN.ORG",ARMSTRONG FOUNDATION,,,ARMSTRONG FOUNDATION,ARMSTRONG FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,3374,Private Grantmaking Foundations (T20),1997.0,94-3279919,Foundation,CA,ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,,,813211 Grantmaking Foundations,"315 Montgomery St Fl 9  San Francisco CA 94104-1858- San Francisco, CA 94104 - N/A",ARTHUR AND CARLYSE CIOCCA CHARITABLE FOUNDATION,,,ARTHUR AND CARLYSE CIOCCA CHARITABLE FOUNDATION,ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,2245,Private Grantmaking Foundations (T20),1975.0,23-7411083,Foundation,NY,BETH AND RAVENEL CURRY FOUNDATION,,,813211 Grantmaking Foundations,"499 Park Ave Fl 17  - New York, NY 10022 - FOUNDATION CENTER (FDNCENTER.ORG)",BETH AND RAVENEL CURRY FOUNDATION,,,BETH AND RAVENEL CURRY FOUNDATION,BETH AND RAVENEL CURRY FOUNDATION,
,,1356,,2000.0,56-2618866,Foundation,WA,BILL AND MELINDA GATES FOUNDATION,,,,,BILL AND MELINDA GATES FOUNDATION,,,BILL AND MELINDA GATES FOUNDATION,BILL AND MELINDA GATES FOUNDATION,
"8399 Social Services, NEC",,1405,Single Organization Support (B11),1957.0,39-6064733,Foundation,NC,"BRADY EDUCATION FOUNDATION, INC.",,,813219 Other Grantmaking and Giving Services,"100 Europa Dr Ste 351  - Chapel Hill, NC 27517 - BRADYEDUCATIONFOUNDATION.ORG","BRADY EDUCATION FOUNDATION, INC.",,,"BRADY EDUCATION FOUNDATION, INC.","BRADY EDUCATION FOUNDATION, INC.",
"8641 Civic and Social Associations- 8699 Membership Organizations, NEC",,2136,"Scholarships, Student Financial Aid, Awards (B82)",1998.0,48-0918408,Foundation,KS,CHARLES KOCH INSTITUTE AND FOUNDATION,,,813410 Civic and Social Organizations,"4111 E 37th St N  - Wichita, KS 67220 - WWW.CHARLESKOCHFOUNDATION.ORG",CHARLES KOCH FOUNDATION,,,CHARLES KOCH FOUNDATION,CHARLES KOCH INSTITUTE AND FOUNDATION,
8221 Colleges and Universities,,3478,Higher Education Institutions (B40),2011.0,27-4967732,Foundation,VA,CHARLES KOCH INSTITUTE AND FOUNDATION,,,"611310 Colleges, Universities, and Professional Schools","1320 N Courthouse Rd Ste 50  Arlington VA 22201-2501- Arlington, VA 22201 - WWW.CHARLESKOCHINSTITUTE.ORG",CHARLES KOCH INSTITUTE,,,CHARLES KOCH INSTITUTE,CHARLES KOCH INSTITUTE AND FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,3484,Private Grantmaking Foundations (T20),1995.0,54-1770697,Foundation,VA,CHASE FOUNDATION OF VIRGINIA,,,813211 Grantmaking Foundations,"350 Old Ivy Way Ste 100  Charlottesville VA 22903-4897- Charlottesville, VA 22903 - N/A",CHASE FOUNDATION OF VIRGINIA,,,CHASE FOUNDATION OF VIRGINIA,CHASE FOUNDATION OF VIRGINIA,
"6732 Trusts: Educational, Religious, Etc.",,1509,Private Independent Foundations (T22),2000.0,74-2622129,Foundation,TX,"COVENANT FOUNDATION, INC.",,,813211 Grantmaking Foundations,"115 N Loop 1604 E Ste 2207  - San Antonio, TX 78232 - N/A","COVENANT FOUNDATION, INC.",,,"COVENANT FOUNDATION, INC.","COVENANT FOUNDATION, INC.",
"6732 Trusts: Educational, Religious, Etc.",,1704,Private Grantmaking Foundations (T20),1993.0,94-3180069,Foundation,CA,DAVID J.  MARY L. G. THEROUX FOUNDATION,,,813211 Grantmaking Foundations,"100 Swan Way Ste 200  - Oakland, CA 94621 - N/A",DAVID J. AND MARY L. G. THEROUX FOUNDATION,,,DAVID J. AND MARY L. G. THEROUX FOUNDATION,DAVID J.  MARY L. G. THEROUX FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,1194,Private Independent Foundations (T22),2007.0,20-3672969,Foundation,MD,DAVIS FAMILY FOUNDATIONS,,,813211 Grantmaking Foundations,"3 Bethesda Metro Ctr Ste 118  - Bethesda, MD 20814 - WWW.DDSFOUNDATION.ORG",DIANA DAVIS SPENCER FOUNDATION,,,DIANA DAVIS SPENCER FOUNDATION,DAVIS FAMILY FOUNDATIONS,
"6732 Trusts: Educational, Religious, Etc.",,3313,Private Grantmaking Foundations (T20),2006.0,20-3734688,Foundation,DE,DAVIS FAMILY FOUNDATIONS,,,813211 Grantmaking Foundations,"501 Silverside Rd  - Wilmington, DE 19809",SHELBY CULLOM DAVIS CHARITABLE FUND,,,SHELBY CULLOM DAVIS CHARITABLE FUND,DAVIS FAMILY FOUNDATIONS,
,,295,,,13-6165382,Foundation,,DAVIS FAMILY FOUNDATIONS,,,,,SHELBY CULLOM DAVIS FOUNDATION,,,SHELBY CULLOM DAVIS FOUNDATION,DAVIS FAMILY FOUNDATIONS,
"6732 Trusts: Educational, Religious, Etc.",,1551,Private Grantmaking Foundations (T20),1990.0,38-2902412,Foundation,,DEVOS FAMILY FOUNDATIONS,,,813211 Grantmaking Foundations,,DICK AND BETSY DEVOS FAMILY FOUNDATION,,,DICK AND BETSY DEVOS FAMILY FOUNDATION,DEVOS FAMILY FOUNDATIONS,
"6732 Trusts: Educational, Religious, Etc.",,2286,Private Grantmaking Foundations (T20),1992.0,38-3035972,Foundation,,DEVOS FAMILY FOUNDATIONS,,,813211 Grantmaking Foundations,,DOUGLAS AND MARIA DEVOS FOUNDATION,,,DOUGLAS AND MARIA DEVOS FOUNDATION,DEVOS FAMILY FOUNDATIONS,
"6732 Trusts: Educational, Religious, Etc.",,644,Private Independent Foundations (T22),2012.0,45-6659303,Foundation,MI,DEVOS FAMILY FOUNDATIONS,,,813211 Grantmaking Foundations,"126 Ottawa Ave NW Ste 500  - Grand Rapids, MI 49503",RICHARD AND HELEN DEVOS FOUNDATION THE,,,RICHARD AND HELEN DEVOS FOUNDATION THE,DEVOS FAMILY FOUNDATIONS,
"6732 Trusts: Educational, Religious, Etc.",,3102,Private Grantmaking Foundations (T20),1961.0,44-6015127,Foundation,MO,E. L. CRAIG FOUNDATION,,,813211 Grantmaking Foundations,"PO Box 1090  - Joplin, MO 64802",E. L. CRAIG FOUNDATION,,,E. L. CRAIG FOUNDATION,E. L. CRAIG FOUNDATION,
"8399 Social Services, NEC",,3824,Single Organization Support (B11),2006.0,20-5723621,Foundation,IL,ED UIHLEIN FAMILY FOUNDATION,,,813219 Other Grantmaking and Giving Services,"736 N Western Ave Ste 339  - Lake Forest, IL 60045",ED UIHLEIN FAMILY FOUNDATION,,,ED UIHLEIN FAMILY FOUNDATION,ED UIHLEIN FAMILY FOUNDATION,
"6732 Trusts: Educational, Religious, Etc.",,1535,Private Grantmaking Foundations (T20),1932.0,51-6017929,Foundation,MO,"F. M. KIRBY FOUNDATION, INC.",,,813211 Grantmaking Foundations,"17 DEHART ST P.O. BOX 151 - MORRISTOWN, NJ 07963 USA- -                             William  Byrnes -                          - -                                Primary Contact Phone: (973) 538-4800-                              - Vice President – Grants- www.fmkirbyfoundation.org- -                                Main Office Phone: (973) 538-4800-                              - 17 DEHART ST P.O. BOX 151 - MORRISTOWN, NJ 07963","F. M. KIRBY FOUNDATION, INC.",,,"F. M. KIRBY FOUNDATION, INC.","F. M. KIRBY FOUNDATION, INC.",
8661 Religious Organizations,,3015,"Religion Related, Spiritual Development N.E.C. (X99)",1996.0,42-1444870,Foundation,CA,FRED MAYTAG FAMILY FOUNDATION,,,813110 Religious Organizations,"3701 Sacramento St # 369  San Francisco CA 94118-1705- San Francisco, CA 94118 - N/A",FRED MAYTAG FAMILY FOUNDATION,,,FRED MAYTAG FAMILY FOUNDATION,FRED MAYTAG FAMILY FOUNDATION,
