ein,name,position,year,org
56-0611550,W Winburne King III,Trustee,2015,SMITH RICHARDSON FOUNDATION
56-0611550,Dr Marin Strmecki,"Senior Vice-President, Director of Prograrns",2015,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,Senior VP,2015,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2015,SMITH RICHARDSON FOUNDATION
56-0611550,Dr. Arvid R Nelson,"Trustee, Secretary",2015,SMITH RICHARDSON FOUNDATION
56-0611550,Michael Blair,Trustee,2015,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,"Trustee, Grants Committee",2015,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S Richardson,Vice Chairman of the Trustees,2015,SMITH RICHARDSON FOUNDATION
56-0611550,Tyler B. Richardson,"Trustee, Investment Committee",2015,SMITH RICHARDSON FOUNDATION
56-0611550,Gary Smith,"Compensation Cmt Chair, Audit Cmt member",2015,SMITH RICHARDSON FOUNDATION
56-0611550,E. William Stetson III,"Trustee, Audit & Grants Committee",2015,SMITH RICHARDSON FOUNDATION
56-0611550,"Less Amount reimbursed for services provided to Moorings Capital, LLC (2)",,2014,SMITH RICHARDSON FOUNDATION
56-0611550,P L Richardson,"Chairman of the Trustees, President, Grants Cmt Chairman invesment Cmt Chairman",2014,SMITH RICHARDSON FOUNDATION
56-0611550,W Winburne King III,"Trustee, General Counsel, & Investment Committee",2014,SMITH RICHARDSON FOUNDATION
56-0611550,Dr. Marin Strmecki,"Senior Vice-President, Director of Programs",2014,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,"Senior VP, Chief Financial Officer & Invesment Committee",2014,SMITH RICHARDSON FOUNDATION
56-0611550,Amount reimbursed for services provided to The H Smith Richardson Charitable Trust (3),,2014,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2014,SMITH RICHARDSON FOUNDATION
56-0611550,Dr Arvid R Nelson,"Trustee, Secretary, Audit Cmt Chairman",2014,SMITH RICHARDSON FOUNDATION
56-0611550,Michael Blair,"Trustee, Audit & Compensation Cmt",2014,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,"Trustee, Grants Committee",2014,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S Richardson,"Vice Chairman of the Trustees, investment Committee",2014,SMITH RICHARDSON FOUNDATION
56-0611550,Tyler B Richardson,"Trustee, Investment Committee",2014,SMITH RICHARDSON FOUNDATION
56-0611550,Gary Smith,"Compensation Cmt Chair, Audit Cmt member",2014,SMITH RICHARDSON FOUNDATION
56-0611550,E William Stetson III,"Trustee, Audit & Grants Committee",2014,SMITH RICHARDSON FOUNDATION
56-0611550,P L Richardson,"Chairman of the Trustees, President & Co-Chief",2013,SMITH RICHARDSON FOUNDATION
56-0611550,W Winburne King III,"Trustee, General Counseol, Co-Chief Investment Officer",2013,SMITH RICHARDSON FOUNDATION
56-0611550,Dr Marin Strmecki,"Senior Vice-President, Direct of Programs",2013,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,VP & Chief Financial Officer,2013,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2013,SMITH RICHARDSON FOUNDATION
56-0611550,Dr Arvid R Nelson,"Trustee, Secretary, Audit Cmt Chairman",2013,SMITH RICHARDSON FOUNDATION
56-0611550,Michael Blair,"Trustee, Audit & Compensation Cmt",2013,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,"Trustee, Grants Committee",2013,SMITH RICHARDSON FOUNDATION
56-0611550,Lundsford Richardson Jr,"Trustee, Audit & Grants Committee",2013,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S Richardson,"Vice Chairman of the Trustees, Investment Committee",2013,SMITH RICHARDSON FOUNDATION
56-0611550,Tyler B Richardson,"Trustee, Investment Committee",2013,SMITH RICHARDSON FOUNDATION
56-0611550,Gary Smith,"Compensation Cmt Chair, Audit Cmt member",2013,SMITH RICHARDSON FOUNDATION
56-0611550,E William Stetson III,"Trustee, Grants Committee",2013,SMITH RICHARDSON FOUNDATION
56-0611550,"Amount reimbursed for services provided to Moorings Capital, LLC(2)",,2012,SMITH RICHARDSON FOUNDATION
56-0611550,P.L Richardson,"Chairman of the Trustees, President & Co-Chief Investment Officer, Grants Committee Chairman",2012,SMITH RICHARDSON FOUNDATION
56-0611550,W.Winburne King III,"Trustee, General Counsel, Co-Chief Investment Officer",2012,SMITH RICHARDSON FOUNDATION
56-0611550,Dr. Marin Strmecki,"Senior Vice-President, Director of Programs",2012,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,VP & Chief Financial Officer,2012,SMITH RICHARDSON FOUNDATION
56-0611550,Amount reimbursed for services provided to The H. Smith Richardson,,2012,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2012,SMITH RICHARDSON FOUNDATION
56-0611550,Dr.Arvid R. Nelson,"Trustee, Secretary, Audti Cmt Chairman",2012,SMITH RICHARDSON FOUNDATION
56-0611550,Michael Blair,"Trustee, Audit & Compensation Cmt.",2012,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,"Trustee, Grants Committee",2012,SMITH RICHARDSON FOUNDATION
56-0611550,Lundsford Richardson Jr.,"Trustee, Audti & Grants Committee",2012,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S Richardson,"Vice Chairman of the Trustees, Investment Committee",2012,SMITH RICHARDSON FOUNDATION
56-0611550,"Tyler B, Richardson","Trustee, Investment Committee",2012,SMITH RICHARDSON FOUNDATION
56-0611550,Gary Smith,"Compensation Cmt Chair, Audit Cmt member",2012,SMITH RICHARDSON FOUNDATION
56-0611550,E. William Stetson III,"Trustee, Grant Committee",2012,SMITH RICHARDSON FOUNDATION
56-0611550,P L Richardson,"Chairman, President Trustee",2011,SMITH RICHARDSON FOUNDATION
56-0611550,W. Winburne King III,General Counsel Trustee,2011,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Vice-President,2011,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,VP & Chief Financial Officer,2011,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2011,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R Nelson,Secretary & Trustee Audit Cmt. Chairman,2011,SMITH RICHARDSON FOUNDATION
56-0611550,Michael Blair,Trustee,2011,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,Trustee,2011,SMITH RICHARDSON FOUNDATION
56-0611550,Lundsford Richardson Jr,"Grants Advisory Committee, Trustee",2011,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S Richardson,Trustee,2011,SMITH RICHARDSON FOUNDATION
56-0611550,Gary Smith,Compensation Cmt Chair Audit Cmt member,2011,SMITH RICHARDSON FOUNDATION
56-0611550,E William Stetson III,Trustee,2011,SMITH RICHARDSON FOUNDATION
56-0611550,P.L. Richardson,"Chairman, President Trustee",2010,SMITH RICHARDSON FOUNDATION
56-0611550,W. Winburne King III,General Counsel Trustee,2010,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Vice-President,2010,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,VP & Chief Financial Officer,2010,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2010,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R. Nelson,Secretary & Trustee Audit Cmt. Chairman,2010,SMITH RICHARDSON FOUNDATION
56-0611550,Michael Blair,Trustee,2010,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,Trustee,2010,SMITH RICHARDSON FOUNDATION
56-0611550,Lundsford Richardson Jr.,"Grants Advisory Committee, Trustee",2010,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S. Richardson,Trustee,2010,SMITH RICHARDSON FOUNDATION
56-0611550,Gary Smith,Compensation Cmt Chair Audit Cmt member,2010,SMITH RICHARDSON FOUNDATION
56-0611550,E. William Stetson III,Trustee,2010,SMITH RICHARDSON FOUNDATION
56-0611550,P.L. Richardson,"Chairman, President Trustee",2009,SMITH RICHARDSON FOUNDATION
56-0611550,W Winburne King III,General Counsel Trustee,2009,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Vice-President,2009,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,VP & Chief Financial Officer,2009,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2009,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R. Nelson,Secretary & Trustee Audit Cmt. Chairman,2009,SMITH RICHARDSON FOUNDATION
56-0611550,Michael Blair,Trustee,2009,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,Trustee,2009,SMITH RICHARDSON FOUNDATION
56-0611550,Lundsford Richardson Jr.,"Grants Advisory Committee, Trustee",2009,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S. Richardson,Trustee,2009,SMITH RICHARDSON FOUNDATION
56-0611550,Gary Smith,Compensation Cmt Chair Audit Cmt member,2009,SMITH RICHARDSON FOUNDATION
56-0611550,E. William Stetson III,Trustee,2009,SMITH RICHARDSON FOUNDATION
56-0611550,P L Richardson,"Chairman, President Trustee",2008,SMITH RICHARDSON FOUNDATION
56-0611550,W. Winbume King III,General Counsel Trustee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Vice-President,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,VP & Chief Financial Officer,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R Netson,Secretary & Trustee Audit Cmt. Chairman,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Edward Zigler,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Zbigniew Brzezinski,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Christopher DeMuth,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Martin Feldstein,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Stephen Goldsmith,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Fred C. ikle,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Roderick MacFarquhar,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Edward C. Meyer,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Lawrence Sherman,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,James Woolsey,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Jane E O'Nell,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Jane Preyer,Grants Advisory Committee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,Trustee,2008,SMITH RICHARDSON FOUNDATION
56-0611550,Lundsford Richardson Jr,"Grants Advisory Committee, Trustee",2008,SMITH RICHARDSON FOUNDATION
56-0611550,P.L. Richardson,"Chairman, President Trustee",2007,SMITH RICHARDSON FOUNDATION
56-0611550,"W. Winburne King, III",General Counsel Trustee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Vice-President,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,VP & Chief Financial Officer,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R Nelson,Secretary & Trustee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Edward Zigler,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Fred C. Ikle,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Christopher DeMuth,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,James Woolsey,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Stephen Goldsmith,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,June E. O'Neill,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Edward C. Meyer,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Martin Feldstein,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,RoderickMacFarquhar,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Zbigniew Brzezinski,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Lawrence Sherman,Grants Advisory Committee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,Trustee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S. Richardson,Trustee,2007,SMITH RICHARDSON FOUNDATION
56-0611550,"Lundsford Richardson, Jr.","Grants Advisory Committee, Trustee",2007,SMITH RICHARDSON FOUNDATION
56-0611550,P L Richardson,"Chairman, President Trustee",2006,SMITH RICHARDSON FOUNDATION
56-0611550,"W Winburne King, III",Trustee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Vice-President,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,VP & Chief Financial Officer,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Karla Frank,Assistant Secretary,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R Nelson,Secretary & Trustee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,James Woolsey,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,June E O'Neill,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Edward C Meyer,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Stephen Goldsmith,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Edward Zigler,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Fred C Ikle,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Roderick MacFarquhar,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Zbigniew Brzezinski,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Christopher DeMuth,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Samuel Huntington,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Benjamin Wattenberg,Grants Advisory Committee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,Trustee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,"Lundsford Richardson, Jr","Grants Advisory Committee, Trustee",2006,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S Richardson,Trustee,2006,SMITH RICHARDSON FOUNDATION
56-0611550,P L Richardson,"Chairman, President Trustee",2005,SMITH RICHARDSON FOUNDATION
56-0611550,"W Winburne King, III",Trustee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Mann Strmacki,Vice-President,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,Treasurer/CFO,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Karta Frank,Assistant Secretary,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Diana B Washburn,Assistant Secretary,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R Nelson,Secretary & Trustee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Edward Zigler,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,William E Odom,Consultant,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Christopher DeMuth,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Benjamin Wattenberg,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Stephen Goldsmith,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Edward C Meyer,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,June E O'Neill,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Fred C Ikle,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Zbigniew Brzezinski,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Samuel Huntington,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Roderick MacFarquhar,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,James Woolsey,Grants Advisory Committee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,Adele Richardson Ray,Trustee,2005,SMITH RICHARDSON FOUNDATION
56-0611550,P.L. Richardson,"Chairman, President Trustee",2004,SMITH RICHARDSON FOUNDATION
56-0611550,"Winburme W. King, III",Trustee /General Counsel,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Senior Vice-President,2004,SMITH RICHARDSON FOUNDATION
56-0611550,R.L. Coble,Vice President/CFO,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,Vice-President/CFO,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Diana B. Washburm,Assistant Secretary,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R. Nelson,Secretary & Trustee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Edward Zlgler,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,William E. Odom,Consultant,2004,SMITH RICHARDSON FOUNDATION
56-0611550,June E. O'Nell,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Zbigniew Brzezinski,Grans Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,John B Shoven,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Benjaimin Wattenberg,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Christopher DeMuth,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Edward C. Meyer,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Samuel Huntington,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Fred C. Ikle,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Rooderick MacFarquhar,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,Stephen Goldsmith,Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,"William E. Stetson, III",Grants Advisory Committee,2004,SMITH RICHARDSON FOUNDATION
56-0611550,P.L. Richardson,"Chairman, President Trustee",2003,SMITH RICHARDSON FOUNDATION
56-0611550,"Winburne W. King, III",Trustee / General Counsel,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Vice-President,2003,SMITH RICHARDSON FOUNDATION
56-0611550,R.L. Coble,Vice President/CFO,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,Treasurer,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Diana B. Washburn,Assistant Secretary,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R. Nelson,Secretary & Trustee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Edward Zigler,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Benjamin Wattenberg,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,William E. Odom,Consultant,2003,SMITH RICHARDSON FOUNDATION
56-0611550,John B. Shoven,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Edward C. Meyer,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Christopher DeMuth,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Roderick MacFarquhar,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Fred C. Ikle,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,June E. O'Neill,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Zbigniew Brzezinski,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,Samuel Huntington,Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,"William E. Stetson, III",Grants Advisory Committee,2003,SMITH RICHARDSON FOUNDATION
56-0611550,"Lundsford Richardson, Jr.","Grants Advisory Committee, Trustee",2003,SMITH RICHARDSON FOUNDATION
56-0611550,P L Richardson,"Chairman, President Trustee",2002,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Vice-President,2002,SMITH RICHARDSON FOUNDATION
56-0611550,"W Winburne King, III",Trustee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,R L Coble,Vice President,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Ross Hemphill,Treasurer,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Diana B Washburn,Assistant Secretary,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Arvid R Nelson,Secretary & Trustee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Edward Zigler,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Edward C Meyer,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Benjamin Wattenberg,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,William E Odom,Consultant,2002,SMITH RICHARDSON FOUNDATION
56-0611550,John B Shoven,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Samuel Huntington,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Fred C Ikle,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Zbigniew Brzezinski,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Roderick MacFarquhar,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Isabel V Sawhill,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Doug Besharov,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,June E O'Neill,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,Christopher DeMuth,Grants Advisory Committee,2002,SMITH RICHARDSON FOUNDATION
56-0611550,P L Richardson,"Chairman, President Trustee",2001,SMITH RICHARDSON FOUNDATION
56-0611550,Marin Strmecki,Vice-President,2001,SMITH RICHARDSON FOUNDATION
56-0611550,Diana B Washburn,Assistant Secretary,2001,SMITH RICHARDSON FOUNDATION
56-0611550,Edward Zigler,Grants Advisory Committee,2001,SMITH RICHARDSON FOUNDATION
56-0611550,John B Shoven,Grants Advisory Committee,2001,SMITH RICHARDSON FOUNDATION
56-0611550,Benjamin Wattenberg,Grants Advisory Committee,2001,SMITH RICHARDSON FOUNDATION
56-0611550,Isabel V Sawhill,Grants Advisory Committee,2001,SMITH RICHARDSON FOUNDATION
56-0611550,Donald Rumsfeld,Grants Advisory Committee,2001,SMITH RICHARDSON FOUNDATION
56-0611550,Stuart S Richardson,Trustee,2001,SMITH RICHARDSON FOUNDATION
56-0611550,"E William Stetson, III",Grants Advisory Committee,2001,SMITH RICHARDSON FOUNDATION
56-0611550,P. L. RICHARDSON,"CHAIRMAN, PRESIDENT TRUSTEE",2000,SMITH RICHARDSON FOUNDATION
56-0611550,R. L. COBLE,VICE PRESIDENT,2000,SMITH RICHARDSON FOUNDATION
56-0611550,MARIN STRMECKI,VICE-PRESIDENT,2000,SMITH RICHARDSON FOUNDATION
56-0611550,"W. WINBURNE KING, III",TRUSTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,ROSS HEMPHILL,TREASURER,2000,SMITH RICHARDSON FOUNDATION
56-0611550,DIANA B. WASHBURN,ASSISTANT SECRETARY,2000,SMITH RICHARDSON FOUNDATION
56-0611550,ARVID R. NELSON,SECRETARY & TRUSTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,EDWARD ZIGLER,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,DONALD RUMSFELD,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,ISABEL V. SAWHILL,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,EDWARD C. MEYER,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,DOUG BESHAROV,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,BENJAMIN WATTENBERG,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,FRED C. IKLE,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,JOHN B. SHOVEN,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,ZBIGNIEW BRZEZINSKI,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,MICHEL OKSENBERG,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,L. RICHARDSON PREYER,GRANTS ADVISORY COMMITTEE,2000,SMITH RICHARDSON FOUNDATION
56-0611550,WILLIAM E. ODOM,CONSULTANT,2000,SMITH RICHARDSON FOUNDATION
56-0611550,LEIGH ANNE GILBERT,CONSULTANT,2000,SMITH RICHARDSON FOUNDATION
56-0611550,"LUNDSFORD RICHARDSON, JR.","GRANTS ADVISORY COMMITTEE, TRUSTEE",1999,SMITH RICHARDSON FOUNDATION
56-0611550,MARIN STRMECKI,VICE-PRESIDENT,1999,SMITH RICHARDSON FOUNDATION
56-0611550,JAMES POTERBA,CONSULTANT,1999,SMITH RICHARDSON FOUNDATION
56-0611550,"E. WILLIAM STETSON, III",GRANTS ADVISORY COMMITTEE,1999,SMITH RICHARDSON FOUNDATION
56-0611550,DONALD RUMSFELD,GRANTS ADVISORY COMMITTEE,1999,SMITH RICHARDSON FOUNDATION
56-0611550,DOUG BESHAROV,GRANTS ADVISORY COMMITTEE,1999,SMITH RICHARDSON FOUNDATION
56-0611550,R. L. COBLE,TREASURER,1999,SMITH RICHARDSON FOUNDATION
56-0611550,ISABEL V. SAWHILL,GRANTS ADVISORY COMMITTEE,1999,SMITH RICHARDSON FOUNDATION
56-0611550,P. L. RICHARDSON,"CHAIRMAN, PRESIDENT TRUSTEE",1999,SMITH RICHARDSON FOUNDATION
56-0611550,EDWARD ZIGLER,GRANTS ADVISORY COMMITTEE,1999,SMITH RICHARDSON FOUNDATION
56-0611550,MICHEL OKSENBERG,GRANTS ADVISORY COMMITTEE,1999,SMITH RICHARDSON FOUNDATION
56-0611550,ARVID R. NELSON,SECRETARY & TRUSTEE,1999,SMITH RICHARDSON FOUNDATION
56-0611550,L. RICHARDSON PREYER,GRANTS ADVISORY COMMITTEE,1999,SMITH RICHARDSON FOUNDATION
56-0611550,WILLIAM E. ODOM,CONSULTANT,1999,SMITH RICHARDSON FOUNDATION
56-0611550,"W. WINBURNE KING, III",TRUSTEE,1999,SMITH RICHARDSON FOUNDATION
56-0611550,LEIGH ANNE GILBERT,CONSULTANT,1999,SMITH RICHARDSON FOUNDATION
56-0611550,DIANA B. WASHBURN,ASSISTANT SECRETARY,1999,SMITH RICHARDSON FOUNDATION
56-0611550,ROBERT M. DEMICHELE,TRUSTEE,1999,SMITH RICHARDSON FOUNDATION
